epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.615,1.45412,2.27892,1.6322,0.80023,0.56235,0.63584,0.35939,1.47112,1.79889,1.91997,0.000547118,0.000547118,0.000547118
2,24.5248,1.35916,1.69335,1.53732,0.43241,0.51466,0.46037,0.20546,1.76859,3.66491,2.19699,0.00108095,0.00108095,0.00108095
3,35.4788,1.4099,1.59677,1.55743,0.52964,0.58834,0.55133,0.25096,1.81872,2.06903,2.18449,0.00159278,0.00159278,0.00159278
4,46.604,1.42263,1.49833,1.55746,0.56584,0.51456,0.5196,0.26175,1.65905,1.96349,1.96665,0.00156798,0.00156798,0.00156798
5,58.0602,1.39754,1.42087,1.53857,0.76226,0.55745,0.65005,0.35806,1.56484,1.58831,1.89667,0.00153497,0.00153497,0.00153497
6,68.9369,1.39448,1.35946,1.52258,0.73378,0.69053,0.76597,0.44982,1.45489,1.2361,1.74773,0.00150197,0.00150197,0.00150197
7,80.2183,1.34458,1.30267,1.49852,0.57032,0.68886,0.62213,0.31792,1.54705,1.84967,1.83502,0.00146896,0.00146896,0.00146896
8,91.4872,1.32424,1.26557,1.48579,0.8525,0.69818,0.80897,0.47739,1.45783,1.2074,1.81143,0.00143595,0.00143595,0.00143595
9,102.555,1.29512,1.20701,1.47928,0.66077,0.64033,0.65812,0.32413,1.5749,1.45596,1.77585,0.00140295,0.00140295,0.00140295
10,113.823,1.29376,1.21313,1.47183,0.78816,0.7436,0.80292,0.46927,1.35896,1.17379,1.68647,0.00136994,0.00136994,0.00136994
11,124.934,1.28493,1.14833,1.47981,0.77748,0.73785,0.81306,0.47291,1.33304,1.18851,1.65837,0.00133693,0.00133693,0.00133693
12,136.237,1.2562,1.12145,1.42827,0.70411,0.76309,0.77741,0.46301,1.33881,1.1622,1.62778,0.00130393,0.00130393,0.00130393
13,147.896,1.24252,1.10903,1.40833,0.87573,0.78939,0.8613,0.52802,1.27756,0.96813,1.61843,0.00127092,0.00127092,0.00127092
14,159.599,1.23902,1.06587,1.42996,0.85069,0.73536,0.82044,0.50012,1.33313,0.98416,1.66914,0.00123791,0.00123791,0.00123791
15,171.35,1.25038,1.07024,1.42724,0.87925,0.71832,0.85777,0.5396,1.27,0.97469,1.5822,0.00120491,0.00120491,0.00120491
16,182.744,1.19025,1.03315,1.39867,0.82219,0.7808,0.86027,0.52687,1.2503,1.02637,1.59035,0.0011719,0.0011719,0.0011719
17,194.307,1.18685,1.01942,1.38869,0.85273,0.78088,0.85838,0.55359,1.28847,0.95086,1.60889,0.00113889,0.00113889,0.00113889
